Description,Analysis results,Description Translated,Description Cleaned Translated
@gonnassau @mfyc1968 Y residencias para menas dirigidas por fieles militantes y cobrando barbaridades,1,@gonnassau @mfyc1968 And residences for menas run by faithful militants and charging outrageous amounts,And residences for menas run by faithful militants and charging atrocities
@unrandomliberal @fils_sahara @Eden2R @ElugimA @Silvi_ArTiSt @Santi_ABASCAL @ivanedlm Eres un puto secuestrado de mierda! Sal ya de esa mierda de dictadura. Seguro que alguna patera te está esperando.,1,@unrandomliberal @fils_sahara @Eden2R @ElugimA @Silvi_ArTiSt @Santi_ABASCAL @ivanedlm You are a fucking kidnapped kidnapper! Get out of that dictatorship shit now. Surely some boat is waiting for you.,You're a fucking kidnapped kid! Get out of that dictatorship shit now. Surely some boat is waiting for you.
"@navedelmisterio Precisamente, iker, también hay mucho que investigar en las ONGs, entre octubre y noviembre han recibido 100 millones de euros.A ver si pudierais saber cuantas empresas viven. de los perritos, gatitos, el hambre infantil, los menas..De verdad da pena.",1,"@navedelmisterio Precisely, iker, there is also a lot to investigate in NGOs, between October and November they have received 100 million euros. Let's see if you could know how many companies are alive. of the puppies, kittens, childhood hunger, the menas... It's really sad.","Precisely, iker, there is also a lot to investigate in NGOs, between October and November they have received 100 million euros. Let's see if you could know how many companies are alive. of puppies, kittens, childhood hunger, menas. It's really sad."
"@GuajeSalvaje Barcelona es ya Warcelona... Me he enterado que a 5 minutos de mi casa hay un centro de menas. Que callado se lo tenía el Ayto. Claro que desde hace un tiempo,  se veía mucho ""movimiento"". Más botellones de lo normal, etc.",1,"@GuajeSalvaje Barcelona is now Warcelona... I found out that 5 minutes from my house there is an ore center. How quiet the City Council was. Of course, for some time now, there was a lot of ""movement."" More bottles than normal, etc.","Barcelona is now Warcelona. .. I found out that 5 minutes from my house there is an ore center. How quiet the City Council was. Of course, for some time now, there was a lot of ""movement."" More bottles than normal, etc."
"@navedelmisterio @hrodgar_cat Y mientras nosotros manteniendo sus #menas que roban, agreden y violan. Anda que vamos bien...",1,"@navedelmisterio @hrodgar_cat And while we maintain their #menas that steal, attack and rape. Come on, we're doing well...","And while we maintain their rights, they steal, attack and rape. Come on, we're doing well. .."
"@lola161807 @RMarisio Es cierto, no le dan importancia el gobierno y el congreso. Lo lamentable q el inmigrante q ingresa al país es pobre y se aprovechan de las debilidades del sistema. Salud y educación gratis, entre otras. Es duro decirlo, pero llega lo q bota la ola y los impuestos se hacen cargo",1,"@lola161807 @RMarisio It's true, the government and congress don't give it importance. The unfortunate thing is that the immigrant who enters the country is poor and they take advantage of the weaknesses of the system. Free health and education, among others. It's hard to say, but whatever the wave throws up comes and taxes take care of it.","It is true, the government and Congress do not give it importance. The unfortunate thing is that the immigrant who enters the country is poor and they take advantage of the weaknesses of the system. Free health and education, among others. It's hard to say, but whatever the wave throws up comes and taxes take care of it."
"@rincon_galan Yo en toni de broma, he llegado a pensar que quizas tenia que tirar mindocumentacion , lijar mis huellas comprar una barca , y darme la vuelta en medio del mar a ver si cuela y me toman como inmigrante.
Como autonomo que me engancharon 20K en impago, yo no tengo ayudas.",1,"@rincon_galan Jokingly, I have come to think that maybe I had to throw away my documentation, sand my fingerprints, buy a boat, and turn around in the middle of the sea to see if it fits and they take me as an immigrant.
As a self-employed person who was hooked for 20K in non-payment, I have no aid.","Jokingly, I have come to think that maybe I had to throw away my documentation, sand my fingerprints, buy a boat, and turn around in the middle of the sea to see if it slips in and they take me as an immigrant.
As a self-employed person who was hooked for 20K in non-payment, I have no aid."
"@yoli_gijon @navedelmisterio @lularoal O entrar en patera a Marruecos, te muelen a tir0s nada más te vean. Si es que somos gilipolles, jodr",1,"@yoli_gijon @navedelmisterio @lularoal Or entering Morocco by boat, they will beat you up as soon as they see you. If we are idiots, damn","Or entering Morocco by boat, they will beat you up as soon as they see you. If we are idiots, damn"
"@navedelmisterio Pues no Iker. En cambio, todo aquel que llega en una patera, tiene carta abierta a todo tipo de ayudas. Así como cualquier británico a venir a España a operarse y a volverse a su país de rositas y dejando la factura por pagar",1,"@navedelmisterio Well not Iker. On the other hand, everyone who arrives in a boat has an open letter to all kinds of help. Just like any Briton who comes to Spain to have surgery and returns to his country with ease and leaves the bill to pay.","Well not Iker. On the other hand, everyone who arrives in a boat has an open letter to all kinds of help. Just like any Briton who comes to Spain to have surgery and returns to his country with ease and leaves the bill to pay."
@LuisFigo Y a tu que te importa.... vete a tu país... anda... ah que tú no cuentas como inmigrante.....,1,"@LuisFigo And who cares.... go to your country... come on... ah, you don't count as an immigrant.....","And what do you care? .. . go to your country. .. come on. .. oh, you don't count as an immigrant. .. .."
"@navedelmisterio Hay más teorías no mal encaminadas sobre una invasión encubierta de Europa y sobre mafias de drogas y armas, donde introducen mulas entre los verdaderos inmigrantes. Podria hacerse un control exhaustivo de identidades con colaboración de interpol, para saber quien entra en patera",1,"@navedelmisterio There are more theories that are not misguided about a covert invasion of Europe and about drug and weapons mafias, where they introduce mules among the real immigrants. An exhaustive identity check could be carried out with the collaboration of Interpol, to know who enters the boat.","There are more theories that are not misguided about a covert invasion of Europe and about drug and weapons mafias, where they introduce mules among the real immigrants. An exhaustive identity check could be carried out with the collaboration of Interpol, to know who enters the boat."
@amminnehk Inmigrante de mierda,1,@amminnehk Fucking immigrant,fucking immigrant
@navedelmisterio Dale duro iker eres el mejor👏🏻👏🏻 FUERA MENAS DE NUESTROS BARRIOS!! Y ala que no le guste a la cocina😂😂,1,@navedelmisterio Hit it hard iker you are the best👏🏻👏🏻 GET OUT OF OUR NEIGHBORHOODS!! And the kitchen doesn't like it😂😂,Hit it hard iker you are the best👏🏻👏🏻 GET OUT OF OUR NEIGHBORHOODS!! And the kitchen doesn't like it😂😂
@AnnaAniAnna @navedelmisterio Otros blanqueando el tráfico ilegal de personas y el esclavismo. Los inmigrantes varones a trabajar para las mafias de la droga en España y las mujeres inmigrantes a prostituirse en las calles y los polígonos para pagar el billete de la patera a esas mafias.,1,@AnnaAniAnna @navedelmisterio Others whitewashing illegal human trafficking and slavery. Male immigrants to work for the drug mafias in Spain and immigrant women to prostitute themselves in the streets and industrial estates to pay the boat ticket to these mafias.,Others whitewashing illegal human trafficking and slavery. Male immigrants to work for the drug mafias in Spain and immigrant women to prostitute themselves in the streets and industrial estates to pay the boat ticket to these mafias.
@navedelmisterio lo que tenían que hacer según los cogen de la patera volverlos a subir en un barco y volverlos a llevar al barco donde los han dejado basta ya,1,"@navedelmisterio what they had to do as they took them from the boat, put them back on a boat and took them back to the boat where they left them, enough is enough","what they had to do as they took them from the boat, put them back on a boat and took them back to the boat where they had left them enough."
"@MoniLisa2 Tenéis idea de lo que es ir andando por el paseo marítimo de la ciudad de Cádiz,  a 500 metros de la avenida principal,  y de repente verte rodeado por 30, 40 inmigrantes que acaban de llegar en patera a la playa? Jamás había pasado algo así.",1,"@MoniLisa2 Do you have any idea what it's like to walk along the promenade of the city of Cádiz, 500 meters from the main avenue, and suddenly see yourself surrounded by 30, 40 immigrants who have just arrived on a boat to the beach? Something like this had never happened.","Do you have any idea what it's like to walk along the promenade of the city of Cádiz, 500 meters from the main avenue, and suddenly see yourself surrounded by 30, 40 immigrants who have just arrived on a boat to the beach? Something like this had never happened."
Reciben más ayuda los ilegales que vienen en patera que los españoles que han estado exponiéndose y trabajando duro durante los meses del confinamiento.,1,Illegals who come by boat receive more help than Spaniards who have been exposing themselves and working hard during the months of confinement.,Illegals who come by boat receive more help than Spaniards who have been exposing themselves and working hard during the months of confinement.
"Aquí @PiliCancela 
Que dice que está orgullosa de su partido, que se ha gastado 700 MM de euros de parados den putas y coca, que impide investigar la prostitución y violación de niñas MENAs en Baleares, responsable de 75.000 muertos, que pacta con ETA y racistas
Lo que son https://t.co/8xnUzEMg4Y",1,"Here @PiliCancela
Who says that she is proud of her party, that she has spent 700 million euros on unemployed people on whores and cocaine, that she prevents investigating the prostitution and rape of MENA girls in the Balearic Islands, that is responsible for 75,000 deaths, that she makes an agreement with ETA and racists
What they are https://t.co/8xnUzEMg4Y","Here
Who says that she is proud of her party, that she has spent 700 million euros on unemployed people on whores and cocaine, that she prevents investigating the prostitution and rape of MENA girls in the Balearic Islands, that is responsible for 75,000 deaths, that she makes an agreement with ETA and racists
What they are"
"@PiliCancela @sanchezcastejon No señora! Esa la pago yo con mis cotizaciones a la Seguridad Social,esa que dais gratis a todo inmigrante que vienen! Se la pago yo y me la descuentan a mi!!! Que coño gratis!!! Gratis es para usted que seguro que no tiene nada cotizado, como los inmigrantes!Tendrá cara dura!",1,"@PiliCancela @sanchezcastejon No ma'am! I pay for that with my Social Security contributions, the one that you give for free to every immigrant who comes! I pay for it and they deduct it from me!!! What the hell free!!! Free is for you who surely do not have anything paid for, like immigrants! You will have a hard face!","No ma'am! I pay for that with my Social Security contributions, the one that you give free to every immigrant who comes! I pay for it and they deduct it from me!!! What the hell free!!! Free is for you who surely do not have anything paid for, like immigrants! You will have a hard face!"
"@rsarille4 El Mohamed VI, extiende sus aguas territoriales hasta Canarias, reclama Ceuta y Melilla, les criamos a los menas, alojamos a los ilegales en hoteles 5 estrellas todo incluido,  les pagamos las vacunas, son los preliminares de la anexión de España al reino de Marruecos?",1,"@rsarille4 The Mohamed VI, extends its territorial waters to the Canary Islands, claims Ceuta and Melilla, we raise the menas, we house the illegals in 5-star all-inclusive hotels, we pay for their vaccines, they are the preliminaries of the annexation of Spain to the kingdom from Morocco?","The Mohamed VI, extends its territorial waters to the Canary Islands, claims Ceuta and Melilla, we raise the menas, we house the illegals in 5-star all-inclusive hotels, we pay for their vaccines, they are the preliminaries of the annexation of Spain to the kingdom of Morocco ?"
"está tal Lucía me estaba dando asco sabe perfectamente q es inmigración ilegal y mafiosa q esta mandada por Marruecos para invadir Europa y ellá todavía q no pasa nada, los mandaban a todos su p*** casa con la Lucía en una patera #CuartoMilenio",1,"This Lucía was making me sick, she knows perfectly well that it is illegal and mafia immigration that is sent by Morocco to invade Europe and she still says nothing happens, they sent everyone to her f***ing house with Lucía in a boat #CuartoMilenio","This Lucía was making me sick, she knows perfectly well that it is illegal and mafia immigration that is sent by Morocco to invade Europe and she still says nothing happens, they sent everyone to her f***ing house with Lucía in a boat"
@MoniLisa2 Un rato a solas con los MENAS que andan sueltos sin correa en Casa de Campo le recetaba yo 😡,1,@MoniLisa2 I prescribed some time alone with the MENAS who are loose without a leash in Casa de Campo 😡,I prescribed some time alone with the MENAS who are loose without a leash in Casa de Campo 😡
"En los gimnasios se está poniendo de moda la ""Dieta Patera"" para ganar masa muscular.",1,"In gyms the ""Patera Diet"" is becoming fashionable to gain muscle mass.","In gyms the ""Patera Diet"" is becoming fashionable to gain muscle mass."
"Si llevas a tu hijo menor en el coche sin cinturón de seguridad te cae una multa que lo flipas y espérate que no te quiten la custodia, si le metes en una patera para cruzar el estrecho te dan una paguita y pelillos a la mar. 

#Españaesdiferente",1,"If you take your minor child in the car without a seat belt you will get a fine that will make you crazy and hope that they don't take custody of you, if you put him in a boat to cross the strait they will give you a little money and money into the sea.

#Spain is different","If you take your minor child in the car without a seat belt you will get a fine that will make you crazy and hope that they don't take custody of you, if you put him in a boat to cross the strait they will give you a little money and money into the sea."
"Señora,por avión vienen legalmente, y sabemos quienes vienen. En patera no tenemos ni idea. El último atentado en Europa, un terrorista llego via lampedusa en patera.En los años 60,los españoles ibamos con contrato y al acabar para España.  No sabe de lo que habla. https://t.co/WmICnvksOZ",1,"Madam, they come legally by plane, and we know who is coming. In patera we have no idea. The last attack in Europe, a terrorist arrived via Lampedusa in Patera. In the 60s, we Spaniards went with a contract and when we finished we went to Spain. He doesn't know what he's talking about. https://t.co/WmICnvksOZ","Madam, they come legally by plane, and we know who is coming. In patera we have no idea. The last attack in Europe, a terrorist arrived via Lampedusa in a boat. In the 60s, we Spaniards went with a contract and when we finished we went to Spain. He doesn't know what he's talking about."
"@navedelmisterio Si un llamado inmigrante llega a España, se puede mover a cualquier país de la unión y siempre le dan ayuda, sea comida, cama o ropa. Si un Español se mueve, recibe ninguna ayuda, con lo cual no se puede mover de la misma forma y siempre está en desventaja.",1,"@navedelmisterio If a so-called immigrant arrives in Spain, he can move to any country in the union and they always give him help, be it food, bed or clothing. If a Spaniard moves, she receives no help, so she cannot move in the same way and is always at a disadvantage.","If a so-called immigrant arrives in Spain, he can move to any country in the union and they always give him help, be it food, a bed or clothing. If a Spaniard moves, he receives no help, so he cannot move in the same way and is always at a disadvantage."
"Cuatro pobres que vienen en patera??? 🔥🔥🔥 Cuatro hdp que vienen a vivir a cuerpo de rey...

Que cabreo dios santo",1,"Four poor people coming in a boat??? 🔥🔥🔥 Four hdp who come to live like a king...

How angry holy god","Four poor people coming in a boat??? 🔥🔥🔥 Four hdp who come to live like a king. ..
How angry holy god"
"@navedelmisterio LAS ONG se financian con cada inmigrante ilegal que llega a las costas de Europa. Entregan pasaportes falsos, nie falso y medios para poblar, trabajar y reunir dinero para pagar a las ONG su viaje a Europa. España va a utilizar bel modelo de Turquía.",1,"@navedelmisterio NGOs are financed by each illegal immigrant that reaches the shores of Europe. They provide false passports, false nie and means to settle, work and raise money to pay the NGOs for their trip to Europe. Spain is going to use the Turkish model.","NGOS are funded by every illegal immigrant that reaches the shores of Europe. They provide false passports, false nie and means to settle, work and raise money to pay the NGOs for their trip to Europe. Spain is going to use the Turkish model."
"@se_anma_mo1TW Para este gobierno vale más un inmigrante que no aporta nada y consume, que un trabajador español que produce y cotiza. Odian a España y a los españoles, que somos quienes les mantenemos en sus cargos oficiales.",1,"@se_anma_mo1TW For this government, an immigrant who contributes nothing and consumes is worth more than a Spanish worker who produces and contributes. They hate Spain and the Spanish, who are the ones who keep them in their official positions.","For this government, an immigrant who contributes nothing and consumes is worth more than a Spanish worker who produces and contributes. They hate Spain and the Spanish, who are the ones who keep them in their official positions."
"https://t.co/jhVUfrl295 Y ahora vas y dices que la integración está cerca.
MENAS a su país, no tenemos que mantener hijos de otros.🗣👇",1,"https://t.co/jhVUfrl295 And now you go and say that integration is close.
LESS to your country, we don't have to support other people's children.🗣👇","And now you go and say that integration is close.
LESS to your country, we don't have to support other people's children. 🗣👇"
"@navedelmisterio LAS ONG promueven el mercado de esclavos en Europa. Cada inmigrante recibe una pensión, trabajan y cobran en negro. Aportan un porcentaje de sus ingresos a la ONG que los trajo a Europa. Mercado de Esclavos patrocinado por las ONG en toda Europa.",1,"@navedelmisterio NGOS promote the slave market in Europe. Each immigrant receives a pension, they work and earn money. They contribute a percentage of their income to the NGO that brought them to Europe. Slave Market sponsored by NGOs throughout Europe.","NGOS promote the slave market in Europe. Each immigrant receives a pension, they work and earn money. They contribute a percentage of their income to the NGO that brought them to Europe. Slave Market sponsored by NGOs throughout Europe."
"Que me digan xenofobo o racista por tratar de delincuente a un inmigrante que comete delito,es lo mismo que me digan clasista o discriminador por tratar de delincuente a un pobre  que comete delito 
Zurdolandia totalitaria neo comunista progre,solo ve inmigrantes y pobres buenos",1,"Being called a xenophobe or racist for treating an immigrant who commits a crime as a criminal is the same as being called a classist or discriminator for treating a poor person who commits a crime as a criminal.
Neo-communist progressive totalitarian Leftland, only sees good immigrants and poor people","Being called a xenophobe or racist for treating an immigrant who commits a crime as a criminal is the same as being called a classist or discriminator for treating a poor person who commits a crime as a criminal.
Neo-communist progressive totalitarian Leftland, only sees good immigrants and poor people"
"Si yo me llamase mamadou y viviese en Mauritania viendo todo lo que dan en España ya hubiese venido en patera, puto gobierno",1,"If my name was mamadou and I lived in Mauritania seeing everything they do in Spain I would have already come in a boat, fucking government","If my name was mamadou and I lived in Mauritania seeing everything they do in Spain I would have already come in a boat, fucking government"
"@PiliCancela @sanchezcastejon Nuestros riñones pagan las vacunas, vuestros sueldos, los hoteles y los cursos de surf a los inmigrantes ilegales, la manutención de los menas, vuestras compras de material defectuoso, los carteles chorras de la ministra de Desigualdad, y el Falcón. https://t.co/6AalIxU5Cj",1,"@PiliCancela @sanchezcastejon Our kidneys pay for the vaccines, your salaries, the hotels and surf courses for illegal immigrants, the maintenance of the menas, your purchases of defective material, the bullshit posters of the Minister of Inequality, and the Falcón. https://t.co/6AalIxU5Cj","Our kidneys pay for the vaccines, your salaries, the hotels and surf courses for illegal immigrants, the maintenance of the menas, your purchases of defective material, the nonsense posters of the Minister of Inequality, and the Falcón."
"@PiliCancela @sanchezcastejon Las pagamos todos los que estamos legalmente y pagamos impuestos. Los Inmigrantes Ilegales y los Menas NO. Para enfatizar..que lo intentáis tapar. 
#IlegalesNo https://t.co/zmeXe3iUbH",1,"@PiliCancela @sanchezcastejon All of us who are legally and pay taxes pay them. Illegal Immigrants and Menas NO. To emphasize... that you try to cover it up.
#IllegalNo https://t.co/zmeXe3iUbH",All of us who are legally and pay taxes pay them. Illegal Immigrants and Menas NO. To emphasize. .that you try to cover it up.
El tiro que le pegaría por negra de mierda https://t.co/l8I1oqrr52,1,The shot that I would hit for being a black shit https://t.co/l8I1oqrr52,The shot that would hit him for being a black shit
"La banda de la ONU....y se quedan tan panchos.
Los que sean Menas de vuelta a su patria y que cargue con ellos su gobierno, el resto a reventarse haciendo trabajos sociales 👇🏻

https://t.co/ynLnUuhuZs",1,"The UN gang...and they look so hot.
Those who are Menas return to their homeland and let their government carry them, the rest will burst doing social work 👇🏻

https://t.co/ynLnUuhuZs","The UN band. ...and they look so hot.
Those who are Menas return to their homeland and let their government carry them, the rest will burst doing social work 👇🏻"
"A este gob.... le interesa más
*la muerte,q la vida d los viejos y d ls q van a nacer
*los ilegales y los menas,o sea ls parásitos,q los pobres camioneros atrapados en Inglaterra
*los okupas y garrapatas q no pagan impuests, q la clase media q les paga los sueldos...
SON BASURA!!",1,"This government... is more interested
*death, the life of the old and those who are going to be born
*the illegals and the menas, that is, the parasites, the poor truckers trapped in England
*the squatters and ticks who don't pay taxes, the middle class who pays their salaries...
THEY ARE TRASH!!","To this gov. .. . you are more interested
*death, the life of the old and those who are going to be born
*the illegals and the menas, that is, the parasites, the poor truckers trapped in England
*the squatters and ticks who don't pay taxes, the middle class who pays their salaries. ..
THEY ARE TRASH!!"
@CONOLTDA @euge2145 @gene_llerena Leo a inmigrante con visa vencida que salió de Chile vuelve x paso ilegal Así de fácil Pero +grave es que sujeto pretende que proceso p/lograr definitiva debe continuar Controlado al salir. Percepción de nulo control en fronteras y facilidades p/quedarse de esta gente impresiona,1,@CONOLTDA @euge2145 @gene_llerena I read an immigrant with an expired visa who left Chile returns through illegal passage That's how easy But what is more serious is that the subject intends that the process to achieve definitive must continue Controlled upon leaving. Perception of zero control at borders and facilities for these people to stay is impressive,I read an immigrant with an expired visa who left Chile returns for an illegal step That's how easy But what is more serious is that the subject intends that the process to achieve definitive must continue Controlled upon leaving. Perception of zero control at borders and facilities for these people to stay is impressive
"500 ILEGALES en 3 días. Todos a hoteles. Estaban deseando levantar el campamento de Arguineguín para que los canarios no viéramos los miles de ILEGALES que vienen a vivir del cuento.

Salvamento rescata a otra patera con 32 magrebíes al sur de Gran Canaria https://t.co/h3GatRGKUo",1,"500 ILLEGAL in 3 days. Everyone to hotels. They were eager to break up the Arguineguín camp so that we Canarians would not see the thousands of ILLEGALS who come to live off the story.

Rescue rescues another boat with 32 North Africans south of Gran Canaria https://t.co/h3GatRGKUo","500 ILLEGAL in 3 days. Everyone to hotels. They were eager to break up the Arguineguín camp so that we Canarians would not see the thousands of ILLEGALS who come to live off the story.
Rescue rescues another boat with 32 North Africans south of Gran Canaria"
"@PiliCancela @sanchezcastejon Que si que si, pero porque nos empezáis a ponérosla vosotros e insistís tanto en que nos la pongamos? Como no me vas a contestar zorra estúpida me contestaré yo mismo por ti: Porque queréis acabar con los Españoles y darle el país a vuestros niños de la patera",1,"@PiliCancela @sanchezcastejon Yes, yes, but why do you start putting it on us and insist so much that we put it on? Since you're not going to answer me, you stupid bitch, I'll answer myself for you: Because you want to put an end to the Spaniards and give the country to your dirty children.","Yes, yes, but why do you start putting it on us and insist so much that we put it on? Since you're not going to answer me, you stupid bitch, I'll answer myself for you: Because you want to put an end to the Spaniards and give the country to your dirty children."
La banda sonora de Sons of Anarchy te dan ganas de matar a un inmigrante latino.,1,The Sons of Anarchy soundtrack makes you want to kill a Latino immigrant.,The Sons of Anarchy soundtrack makes you want to kill a Latino immigrant.
"Sí, así es. Van a vacunar antes a los menas y a los "" ""turistas"" de patera que a tí, currante. https://t.co/IbIiPvMzyT",1,"Yes that's how it is. They are going to vaccinate the menas and the ""tourists"" of patera before they vaccinate you, hard worker. https://t.co/IbIiPvMzyT","Yes that's how it is. They are going to vaccinate the menas and the ""tourists"" of patera before they vaccinate you, hard worker."
Mirad los comentarios jajaja que pais de locos. Si hubiese venido en patera le hubiese nombrado conde de Mallorca por lo menos y hubiesen desahuciado a Nadal para darle su casa https://t.co/G2VFblIvyR,1,"Look at the comments hahaha what a crazy country. If he had come by boat, I would have at least named him Count of Mallorca and they would have evicted Nadal to give him his house https://t.co/G2VFblIvyR",Look at the comments hahaha what a crazy country. If he had come by boat he would have been named Count of Mallorca at least and they would have evicted Nadal to give him his house.
"@bea_fanjul Exactamente exacto.
Según Ábalos la sociedad que quiere este gobierno para España :
Delincuentes, Traidores e individuos afines.
Si no perteneces a uno de estos grupos (o si eres inmigrante ilegal tb vale) te toca oír su retahíla de trolas y cerrar el pico.",1,"@bea_fanjul Exactly accurate.
According to Ábalos, the society that this government wants for Spain:
Criminals, Traitors and similar individuals.
If you don't belong to one of these groups (or if you're an illegal immigrant, that's okay) you have to listen to their string of nonsense and shut up.","Exactly exact.
According to Ábalos, the society that this government wants for Spain:
Criminals, Traitors and similar individuals.
If you don't belong to one of these groups (or if you're an illegal immigrant, that's okay) you have to listen to their string of nonsense and shut up."
"Y ahora vas y dices que la integración está cerca.
MENAS a su país, no tenemos que mantener hijos de otros. 
VOX VOX VOX                                 https://t.co/kresjqIkDP",1,"And now you go and say that integration is close.
LESS to your country, we don't have to support other people's children.
VOX VOX VOX https://t.co/kresjqIkDP","And now you go and say that integration is close.
LESS to your country, we don't have to support other people's children.
VOX VOX VOX"
"@PiliCancela @PSOE La inmigración ilegal lleva a los guetos, explotación, delincuencia marginalidad, si tan de acuerdo están con ella,la solución es que acojan en su casa a un inmigrante ilegal le den formación,comida y techo, si no lo hacen, demagogia barata de charlatanes.",1,"@PiliCancela @PSOE Illegal immigration leads to ghettos, exploitation, crime, marginality, if you agree with it, the solution is to welcome an illegal immigrant into your home, give him training, food and shelter, if you don't, cheap demagogy of charlatans.","Illegal immigration leads to ghettos, exploitation, crime, marginality, if you agree with it, the solution is to welcome an illegal immigrant into your home, give him training, food and shelter, if you don't, cheap demagogy of charlatans ."
@PiliCancela @PSOE Otra vez el día del inmigrante pero si fue la semana pasada y la anterior 🤣🤣🤣,1,@PiliCancela @PSOE Immigrant Day again but it was last week and the week before 🤣🤣🤣,Immigrant day again but it was last week and the week before 🤣🤣🤣
Y encima yo para ir trabajar al hospital a Galicia parezco una puta inmigrante ilegal de la cantidad de papeles que tengo que llevar para pasar. Pero bueno supongo que como está gente no es famosa no os interesa decir nada.,1,"And on top of that, going to work at the hospital in Galicia makes me look like a fucking illegal immigrant because of the amount of papers I have to carry to get through. But well, I suppose that since these people are not famous, you are not interested in saying anything.","And on top of that, going to work at the hospital in Galicia makes me look like a fucking illegal immigrant because of the amount of papers I have to carry to get through. But well, I suppose that since these people are not famous, you are not interested in saying anything."
"Soooo stupid...
Entrando en patera tendría un 4* por la cara https://t.co/I7GkZNsb4B",1,"Soooo stupid...
Entering in a boat I would have a 4* on the face https://t.co/I7GkZNsb4B","So stupid. ..
Entering in a boat it would have a 4* on the face"
"@Mara67092723 @Alexis_Rescue Los traen en barco nodriza hasta casi la costa y los suben en la patera, dan aviso y a recogerlos. Es mas rentable que la droga.",1,"@Mara67092723 @Alexis_Rescue They bring them by mother ship almost to the coast and put them on the boat, give notice and pick them up. It is more profitable than drugs.","They bring them by mother ship almost to the coast and put them on the boat, give notice and pick them up. It is more profitable than drugs."
"@RubenSanchezTW También se es daltónico si llegas en patera te alojan en hoteles con gastos pagados, sin eres español y te quedas en la ruina, te jodes.",1,"@RubenSanchezTW You are also color blind if you arrive by boat they put you up in hotels with expenses paid, if you are Spanish and you are left in ruins, you are screwed.","You are also color blind if you arrive by boat they put you up in hotels with expenses paid, if you are Spanish and you are left in ruins, you are screwed."
@thejavigx1 @luisabinader @pelegrinc Como dominicano q no tiene intención de irse a vivir a otro país de inmigrante extranjero. Prefiero #Patria o #Muerte el pdte @luisabinader sera responsable d la situación q se generé a RD🇩🇴 por obligar a los dominicanos a convivir con #Haitianos ilegales. https://t.co/97PMzSJixO,1,"@thejavigx1 @luisabinader @pelegrinc As a Dominican who has no intention of going to live in another country as a foreign immigrant. I prefer #Homeland or #Death, the president @luisabinader will be responsible for the situation that was generated in the DR🇩🇴 for forcing Dominicans to live with illegal #Haitians. https://t.co/97PMzSJixO",As a Dominican who has no intention of going to live in another country as a foreign immigrant. I prefer or the president will be responsible for the situation that was generated in the DR🇩🇴 for forcing Dominicans to live with illegals.
@avante_hispania El buenisimo es genocida. Inmigrante ilegal: O se van o les deportamos. Este no es su sitio. Nos va la vida en ello. Cuestión de supervivencia. Sin racismo ni acritud.,1,@avante_hispania The good guy is genocidal. Illegal immigrant: Either they leave or we deport them. This is not your place. Our lives are in it. Question of survival. Without racism or acrimony.,The good guy is genocidal. Illegal immigrant: Either they leave or we deport them. This is not your place. Our lives are in it. Question of survival. Without racism or acrimony.
"@CruzRojaBizkaia @CruzRojaEsp Si avisar avisar, no valla a ser que vuestros niños de la patera les pase algo.",1,"@CruzRojaBizkaia @CruzRojaEsp If you warn, warn, lest something happen to your children on the boat.","If you warn, warn, it's not going to happen that something happens to your boat children."
@MariaMonteroTFE @inclusiongob @CruzRojaLP Propongo no recibir un inmigrante ilegal más mientras exista un español en situación de riesgo o de calle.,1,@MariaMonteroTFE @inclusiongob @CruzRojaLP I propose not to receive one more illegal immigrant as long as there is a Spaniard at risk or on the street.,I propose not to receive one more illegal immigrant as long as there is a Spaniard at risk or on the street.
@blaslopezcc @TwitterSeguro Vino en PATERA y vive de atemorizar a los demás. Muchas gracias por el apoyo,1,@blaslopezcc @TwitterSeguro He came from PATERA and lives by scaring others. Thanks for the support,He came to PATERA and lives by frightening others. Thanks for the support
@rouco64 Estoy por pillar una patera y llegar a Canarias!!! Es la única manera de pasar unas vacaciones gratis y olvidarte del coronavirus,1,@rouco64 I'm about to grab a boat and get to the Canary Islands!!! It is the only way to spend a free vacation and forget about the coronavirus,I'm about to grab a boat and get to the Canary Islands!!! It is the only way to spend a free vacation and forget about the coronavirus
"@alguien_neutral @JRhodesPianist ¿Gratuidad? Esa vacuna sale del IRPF de esos obreros de derechas, no la regala Pfizer por Navidad. IRPF que no te pagan ni okupas, ni Menas ni manteros",1,"@alguien_neutral @JRhodesPianist Free? That vaccine comes from the personal income tax of those right-wing workers, it is not given away by Pfizer for Christmas. IRPF that neither squatters, nor Menas nor manteros pay you","Gratuity? That vaccine comes from the personal income tax of those right-wing workers, it is not given away by Pfizer for Christmas. IRPF that neither squatters, nor Menas nor manteros pay you"
"@CapitanBitcoin Y las empresas cerrando, los autónomos en la ruina.

Y los inmigrante surfeando las lágrimas de los españoles.

PAGAMOS TODOS.",1,"@CapitanBitcoin And the companies closing, the self-employed in ruin.

And the immigrants surfing the tears of the Spanish.

WE ALL PAY.","And companies closing, the self-employed in ruin.
And the immigrants surfing the tears of the Spanish.
WE ALL PAY."
@kikimu13 Quizás escribe en idioma inmigrante,1,@kikimu13 Maybe he writes in immigrant language,Maybe he writes in an immigrant language
